date,ticker
2016-08-31,SUZB3
2016-08-31,TIMS3
2016-08-31,UGPA3
2016-08-31,USIM5
2016-08-31,VALE3
2016-08-31,VALE5
2016-08-31,VIVT3
2016-08-31,WEGE3
2016-08-31,YDUQ3
2016-09-30,ABEV3
2016-09-30,AMER3
2016-09-30,B3SA3
2016-09-30,BBAS3
2016-09-30,BBDC3
2016-09-30,BBDC4
2016-09-30,BBSE3
2016-09-30,BRAP4
2016-09-30,BRFS3
2016-09-30,BRKM5
2016-09-30,BRML3
2016-09-30,CCRO3
2016-09-30,CIEL3
2016-09-30,CMIG4
2016-09-30,COGN3
2016-09-30,CPFE3
2016-09-30,CPLE6
2016-09-30,CSAN3
2016-09-30,CSNA3
2016-09-30,CYRE3
2016-09-30,ECOR3
2016-09-30,EGIE3
2016-09-30,EMBR3
2016-09-30,ENBR3
2016-09-30,EQTL3
2016-09-30,FIBR3
2016-09-30,GGBR4
2016-09-30,GOAU4
2016-09-30,GOLL4
2016-09-30,HYPE3
2016-09-30,ITSA4
2016-09-30,ITUB4
2016-09-30,JBSS3
2016-09-30,KLBN11
2016-09-30,LREN3
2016-09-30,MRFG3
2016-09-30,MRVE3
2016-09-30,MULT3
2016-09-30,NTCO3
2016-09-30,PCAR3
2016-09-30,PETR3
2016-09-30,PETR4
2016-09-30,QUAL3
2016-09-30,RADL3
2016-09-30,RAIL3
2016-09-30,RENT3
2016-09-30,SANB11
2016-09-30,SBSP3
2016-09-30,SUZB3
2016-09-30,TIMS3
2016-09-30,UGPA3
2016-09-30,USIM5
2016-09-30,VALE3
2016-09-30,VALE5
2016-09-30,VIVT3
2016-09-30,WEGE3
2016-09-30,YDUQ3
2016-10-31,ABEV3
2016-10-31,AMER3
2016-10-31,B3SA3
2016-10-31,BBAS3
2016-10-31,BBDC3
2016-10-31,BBDC4
2016-10-31,BBSE3
2016-10-31,BRAP4
2016-10-31,BRFS3
2016-10-31,BRKM5
2016-10-31,BRML3
2016-10-31,CCRO3
2016-10-31,CIEL3
2016-10-31,CMIG4
2016-10-31,COGN3
2016-10-31,CPFE3
2016-10-31,CPLE6
2016-10-31,CSAN3
2016-10-31,CSNA3
2016-10-31,CYRE3
2016-10-31,ECOR3
2016-10-31,EGIE3
2016-10-31,EMBR3
2016-10-31,ENBR3
2016-10-31,EQTL3
2016-10-31,FIBR3
2016-10-31,GGBR4
2016-10-31,GOAU4
2016-10-31,GOLL4
2016-10-31,HYPE3
2016-10-31,ITSA4
2016-10-31,ITUB4
2016-10-31,JBSS3
2016-10-31,KLBN11
2016-10-31,LREN3
2016-10-31,MRFG3
2016-10-31,MRVE3
2016-10-31,MULT3
2016-10-31,NTCO3
2016-10-31,PCAR3
2016-10-31,PETR3
2016-10-31,PETR4
2016-10-31,QUAL3
2016-10-31,RADL3
2016-10-31,RAIL3
2016-10-31,RENT3
2016-10-31,SANB11
2016-10-31,SBSP3
2016-10-31,SUZB3
2016-10-31,TIMS3
2016-10-31,UGPA3
2016-10-31,USIM5
